0.000000000000000000e+00	6.545103620864878735e+01	1.891907381319447301e-01	3.459526446955461552e+02	1.140912020114539516e+00	9.753431315656933293e+04	2.462795241049472243e+05
1.000000000000000056e-01	6.710546623126651866e+01	1.940085353563595627e-01	3.458892471303160505e+02	1.139867013809099605e+00	9.740926633954381396e+04	2.460896582718284044e+05
2.000000000000000111e-01	6.881145791691841396e+01	1.989792938616883056e-01	3.458222038155873292e+02	1.138762746412088855e+00	9.727717808495342615e+04	2.458889755463295733e+05
3.000000000000000444e-01	7.057047356567589702e+01	2.041076158108705296e-01	3.457513002898807031e+02	1.137595828982217228e+00	9.713765153963449120e+04	2.456768515241567511e+05
4.000000000000000222e-01	7.238396891262209465e+01	2.093981176664565513e-01	3.456763113215762360e+02	1.136362715158858228e+00	9.699027219268762565e+04	2.454526320204343356e+05
5.000000000000000000e-01	7.425338474816022938e+01	2.148554083905856726e-01	3.455970008126348603e+02	1.135059701967183976e+00	9.683460810908465646e+04	2.452156330787262705e+05
6.000000000000000888e-01	7.618013726731857105e+01	2.204840640206739977e-01	3.455131218017435799e+02	1.133682932480730710e+00	9.667021039740665583e+04	2.449651413056615856e+05
7.000000000000000666e-01	7.816560700337763024e+01	2.262885981688316783e-01	3.454244165897348466e+02	1.132228400721108086e+00	9.649661395712691592e+04	2.447004146001790359e+05
8.000000000000000444e-01	8.021112618838165531e+01	2.322734279456629691e-01	3.453306170137803974e+02	1.130691959229234378e+00	9.631333855703614245e+04	2.444206833566937130e+05
9.000000000000000222e-01	8.231796437020233270e+01	2.384428347592236763e-01	3.452314449009377313e+02	1.129069329802153465e+00	9.611989030307617213e+04	2.441251522328027932e+05
1.000000000000000000e+00	8.448731210224831045e+01	2.448009193855830157e-01	3.451266127361774920e+02	1.127356117954652959e+00	9.591576356103367289e+04	2.438130025846009958e+05
1.100000000000000089e+00	8.672026250889341270e+01	2.513515506519174436e-01	3.450158245850147978e+02	1.125547831734448057e+00	9.570044340708722302e+04	2.434833956860887702e+05
1.200000000000000178e+00	8.901779051632027517e+01	2.580983070133324730e-01	3.448987773163576662e+02	1.123639905593974531e+00	9.547340868711112125e+04	2.431354768636332010e+05
1.300000000000000044e+00	9.138072952600028032e+01	2.650444102439598049e-01	3.447751621771196824e+02	1.121627730099243880e+00	9.523413577369040286e+04	2.427683806917167676e+05
1.400000000000000133e+00	9.380974529698427489e+01	2.721926504025316551e-01	3.446446667764683980e+02	1.119506688335291322e+00	9.498210311778342293e+04	2.423812374120566528e+05
1.500000000000000000e+00	9.630530679337275046e+01	2.795453011717239367e-01	3.445069775442680680e+02	1.117272199947172640e+00	9.471679669968697999e+04	2.419731807543935138e+05
1.600000000000000089e+00	9.886765374645159454e+01	2.871040246138159557e-01	3.443617827351553728e+02	1.114919773831798855e+00	9.443771649097038608e+04	2.415433573532422888e+05
1.700000000000000178e+00	1.014967606784035183e+02	2.948697643366430809e-01	3.442087760565644885e+02	1.112445070565168281e+00	9.414438404484203784e+04	2.410909379699715064e+05
1.800000000000000044e+00	1.041922971351086460e+02	3.028426260202390363e-01	3.440476610057708626e+02	1.109843975709205344e+00	9.383635133667472110e+04	2.406151307432943431e+05
1.900000000000000133e+00	1.069535838860983148e+02	3.110217442364003881e-01	3.438781560070133878e+02	1.107112685181680822e+00	9.351321097785531310e+04	2.401151967016442213e+05
2.000000000000000000e+00	1.097795448659013715e+02	3.194051344888158006e-01	3.437000004448750587e+02	1.104247803889783830e+00	9.317460792454844341e+04	2.395904677776380558e+05
2.100000000000000089e+00	1.126686546609669790e+02	3.279895294359389535e-01	3.435129616934091246e+02	1.101246458808073037e+00	9.282025279667328869e+04	2.390403675651395752e+05
2.200000000000000178e+00	1.156188813945131244e+02	3.367701983480214656e-01	3.433168432410741389e+02	1.098106427611279523e+00	9.244993690989421157e+04	2.384644350507649360e+05
2.300000000000000266e+00	1.186276249177599169e+02	3.457407489664407474e-01	3.431114940092713255e+02	1.094826283852269988e+00	9.206354910493647913e+04	2.378623515339451842e+05
2.400000000000000355e+00	1.216916503137347831e+02	3.548929111822813898e-01	3.428968189540170215e+02	1.091405559458620500e+00	9.166109442878467962e+04	2.372339709140707273e+05
2.500000000000000000e+00	1.248070168675708942e+02	3.642163023642533970e-01	3.426727910239206381e+02	1.087844924980199801e+00	9.124271467842896527e+04	2.365793534643543535e+05
2.600000000000000089e+00	1.279690027107965022e+02	3.736981743200794015e-01	3.424394645321137887e+02	1.084146387704903569e+00	9.080871077789715491e+04	2.358988031569755694e+05
2.700000000000000178e+00	1.311720258216642776e+02	3.833231433222575313e-01	3.421969899463876459e+02	1.080313506865888895e+00	9.035956685295166972e+04	2.351929084410840005e+05
2.800000000000000266e+00	1.344095619983832250e+02	3.930729045087087981e-01	3.419456300768889037e+02	1.076351624761532566e+00	8.989597582166049688e+04	2.344625863002273545e+05
2.900000000000000355e+00	1.376740609692078294e+02	4.029259337396816076e-01	3.416857775606841869e+02	1.072268111385526801e+00	8.941886617958327406e+04	2.337091291864452942e+05
3.000000000000000000e+00	1.409568624539721213e+02	4.128571821665533159e-01	3.414179734364117849e+02	1.068072618612798230e+00	8.892942948524632084e+04	2.329342541337204457e+05
3.100000000000000089e+00	1.442481142661795843e+02	4.228377699133988310e-01	3.411429265075420290e+02	1.063777338719647414e+00	8.842914791766395501e+04	2.321401531055018131e+05
3.200000000000000178e+00	1.475366950809947184e+02	4.328346873170107467e-01	3.408615330613231436e+02	1.059397260295674270e+00	8.791982109746367496e+04	2.313295432926377980e+05
